title,degree,school,location,price,duration,label
Analytics,M.Sc.,"Kogod School of Business, American University Washington DC","Washington, D. C., Washington, D.C., United States","1,481 EUR / credit",1 year,M.Sc. Full-time Part-time
Masters in Business Analytics,M.Sc.,Hult International Business School,"San Francisco, California, United States","38,827 EUR / year",1 year,M.Sc. Full-time Part-time
Computer Science,M.Sc.,University of Missouri–St. Louis,"Saint Louis, Missouri, United States","18,226 EUR / year",1½ years,M.Sc. Full-time
Computer Science - Data Science,M.Sc.,Contemporary Technology University,Online,"4,904 EUR / year",1 year,M.Sc. Full-time Part-time Blended Learning
Customer Intelligence and Analytics,M.Sc.,Pace University,"New York City, New York, United States","1,099 EUR / credit",1 year,M.Sc. Full-time
Data Science,Full-time,University of Maryland Baltimore County (UMBC),"Baltimore Highlands, Maryland, United States",925 EUR / credit,1 year,Full-time
Data Science,M.Sc.,South Dakota State University,"Brookings, South Dakota, United States",530 EUR / credit,2 years,M.Sc. Full-time Blended Learning
UX Design,M.Sc.,Hussian College Los Angeles,"Los Angeles, California, United States","8,364 EUR / year",2 years,M.Sc. Full-time
Data Science,M.Sc.,University of Michigan - Dearborn,"Dearborn, Michigan, United States","1,175 EUR / credit",1 year,M.Sc. Full-time Blended Learning
Statistics and Data Science,M.Sc.,University of Arizona,"Tucson, Arizona, United States","16,451 EUR / year",1 year,M.Sc. Full-time
Computer Networking,M.Sc.,Wichita State University,"Wichita, Kansas, United States",618 EUR / credit,1 year,M.Sc. Full-time
Engineering Sciences (Data Sciences),M.Sc.,University at Buffalo SUNY - School of Engineering and Applied Sciences,"Buffalo, New York, United States","18,882 EUR / year",1 year,M.Sc. Full-time Part-time
Engineering Sciences (Artificial Intelligence),M.Sc.,University at Buffalo SUNY - School of Engineering and Applied Sciences,"Buffalo, New York, United States","18,882 EUR / year",1 year,M.Sc. Full-time Part-time
Economic Data Analytics,M.Sc.,The University of Texas at Arlington,"Texas City, Texas, United States","18,900 EUR / year",1 year,M.Sc. Full-time
Computer Science - Big Data Systems,Full-time,Arizona State University,"Tempe Junction, Arizona, United States","20,599 EUR / year",1 year,Full-time
Hydrographic Science,M.Sc.,University of Southern Mississippi,"West Hattiesburg, Mississippi, United States",399 EUR / credit,2 years,M.Sc. Full-time
Education Data Science,M.Sc.,Stanford University,"Stanford, California, United States","29,598 EUR / year",2 years,M.Sc. Full-time
Data Analytics,M.Sc.,Davenport University,"Caledonia, Wisconsin, United States","8,553 EUR / year",1 year,M.Sc. Full-time
Data Science for Public Policy,Full-time,Georgetown University,"Washington, D. C., Washington, D.C., United States","39,360 EUR / year",2 years,Full-time
Data Science and Analytics with Emphasis in BioHealth Analytics,M.Sc.,University of Missouri - Columbia,"Columbia, Missouri, United States","19,873 EUR / year",1 year,M.Sc. Full-time Blended Learning
Information Technology,M.Sc.,Northwestern University,"Evanston, Illinois, United States","28,833 EUR / year",1 year,M.Sc. Full-time Part-time
Applied Data Science,M.Sc.,University of Southern California,"Los Angeles, California, United States","1,797 EUR / credit",2 years,M.Sc. Full-time Online
Statistics,M.Sc.,Florida State University,"Tallahassee, Florida, United States",907 EUR / credit,2 years,M.Sc. Full-time
Accounting with Emphasis in Data and Analytics,Full-time,University of Southern California,"Los Angeles, California, United States","48,439 EUR / year",1 year,Full-time
Analytics,M.Sc.,University of Chicago,"Chicago, Illinois, United States","4,058 EUR / module",1½ years,M.Sc. Full-time Part-time
Data Analytics,M.Sc.,University of Central Florida,"Orlando, Florida, United States","35,155 EUR / year",1 year,M.Sc. Full-time
Computational and Data Sciences,M.Sc.,Chapman University,"Los Angeles, California, United States","1,385 EUR / credit",1 year,M.Sc. Full-time
Business Analytics,M.Sc.,University of Massachusetts Lowell,"Lowell, Massachusetts, United States","36,701 EUR / year",1 year,M.Sc. Full-time Part-time
Public Policy Data Science,M.Sc.,University of Southern California,"Los Angeles, California, United States","48,439 EUR / year",1 year,M.Sc. Full-time
Computer Science,M.Sc.,Emory University,"Atlanta, Georgia, United States","34,985 EUR / year",1 year,M.Sc. Full-time
Quantum Information Science,M.Sc.,University of Southern California,"Los Angeles, California, United States","48,439 EUR / year",1 year,M.Sc. Full-time
Business Analytics,M.Sc.,University of Central Oklahoma,"Edmond, Oklahoma, United States","10,981 EUR / year",1 year,M.Sc. Full-time
Social Data Analytics and Research,M.Sc.,University of Texas at Dallas,"Richardson, Texas, United States","32,147 EUR / year",1 year,M.Sc. Full-time
Computational Data Science,M.Sc.,Carnegie Mellon University,"Pittsburgh, Pennsylvania, United States","37,600 EUR / year",1 year,M.Sc. Full-time
Applied Security and Analytics,M.Sc.,University of Findlay,"Findlay, Ohio, United States",613 EUR / credit,2 years,M.Sc. Full-time Part-time Online
Data Science,M.Sc.,University of Delaware,"Newark, Delaware, United States",777 EUR / credit,1 year,M.Sc. Full-time
Data Science and Analytics,M.Sc.,Grand Valley State University,"Allendale, Michigan, United States","11,035 EUR / year",1 year,M.Sc. Full-time
Information Technology,M.Sc.,The University of Texas at San Antonio,"Helotes, Texas, United States","13,134 EUR / year",1 year,M.Sc. Full-time
Business Analytics,M.Sc.,University of Minnesota,"Minneapolis, Minnesota, United States","53,335 EUR / year",1 year,M.Sc. Full-time
Quantitative Methods,M.Ed.,Vanderbilt University,"Nashville, Tennessee, United States","1,655 EUR / credit",2 years,M.Ed. Full-time
Data Analytics Engineering,M.Sc.,Northeastern University,Multiple locations,"43,486 EUR / year",2 years,M.Sc. Full-time Online
Data Analytics,M.Sc.,The University of Texas at San Antonio,"Helotes, Texas, United States","13,134 EUR / year",1 year,M.Sc. Full-time
Healthcare Data Science,M.Sc.,University of Southern California,"Los Angeles, California, United States","1,797 EUR / credit",2 years,M.Sc. Full-time
Computer Science,M.Sc.,University of West Florida,"Pensacola, Florida, United States","4,738 EUR / year",1 year,M.Sc. Full-time Part-time Online
Complex Systems and Data Science,M.Sc.,The University of Vermont,"Burlington, Vermont, United States","1,406 EUR / credit",1 year,M.Sc. Full-time
Computer Science,M.Sc.,New York University,"New York City, New York, United States","47,646 EUR / year",1 year,M.Sc. Full-time
Data Analytics,M.Sc.,Fordham University,"Manhattan, New York, United States","1,179 EUR / credit",1 year,M.Sc. Full-time
Data Science,M.Sc.,St. John's University,"New York City, New York, United States","1,067 EUR / credit",1 year,M.Sc. Full-time
Information Technology (with a Concentration in Data Science),M.Sc.,California State University Fullerton,"Fullerton, California, United States","16,607 EUR / year",2 years,M.Sc. Full-time
Computer Science,M.Sc.,City University of Seattle,Online,691 EUR / credit,2 years,M.Sc. Full-time Blended Learning
Data Science,M.Sc.,University of the Pacific,"Stockton, California, United States","9,116 EUR / year",2 years,M.Sc. Full-time Blended Learning
Statistics,M.A.,"University of California, Berkeley","Berkeley, California, United States","21,697 EUR / year",1 year,M.A. Full-time
Data Science,M.Sc.,Michigan Technological University,"Houghton, Michigan, United States","19,957 EUR / year",1 year,M.Sc. Full-time
Data Science and Engineering,Full-time,"University of California, San Diego","San Diego, California, United States","16,751 EUR / year",2 years,Full-time
"Data, Economics, and Development Policy",Full-time,Massachusetts Institute of Technology (MIT),"Cambridge, Massachusetts, United States","43,690 EUR / year",1 year,Full-time Online
Data Science,M.Sc.,University of Rochester,"Rochester, New York, United States","1,458 EUR / credit",1 year,M.Sc. Full-time
Data Analytics,M.Sc.,Tufts University,"Medford, Massachusetts, United States","44,300 EUR / year",1 year,M.Sc. Full-time
Biomedical Data Science and Informatics,M.Sc.,Clemson University,"Clemson, South Carolina, United States","21,947 EUR / year",1 year,M.Sc. Full-time
Data Analytics,M.Sc.,Drew University,"Madison, New Jersey, United States","18,186 EUR / year",1 year,M.Sc. Full-time
Data Science,M.Sc.,Columbia University,"Manhattan, New York, United States","41,276 EUR / year",1 year,M.Sc. Full-time Part-time
Data Analytics,M.Sc.,Robert Morris University,"New York City, New York, United States",785 EUR / credit,1 year,M.Sc. Full-time Part-time Online
Statistics and Data Science,M.Sc.,Temple University,"Philadelphia, Pennsylvania, United States",911 EUR / credit,1 year,M.Sc. Full-time Part-time
Data Science,M.Sc.,University of North Dakota,"Grand Forks, North Dakota, United States","19,775 EUR / year",2 years,M.Sc. Full-time Part-time Online
Data Science,M.Sc.,Saint Peter's University,"Jersey City, New Jersey, United States",962 EUR / credit,1½ years,M.Sc. Full-time
Big Data Analytics and Information Technology,M.Sc.,University of Central Missouri,"Lees Summit, Missouri, United States",513 EUR / credit,1 year,M.Sc. Full-time
Computer Science,M.Sc.,Jackson State University,"Jackson, Mississippi, United States",785 EUR / credit,1 year,M.Sc. Full-time
Biomedical Data Science,M.Sc.,Icahn School of Medicine at Mount Sinai,"New York City, New York, United States","25,748 EUR / year",1 year,M.Sc. Full-time
Data Analytics,M.Sc.,George Washington University,"Washington, D. C., Washington, D.C., United States","1,663 EUR / credit",2 years,M.Sc. Full-time
Data Science,M.Sc.,The University of Alabama at Birmingham,"Birmingham, Alabama, United States","15,761 EUR / year",1 year,M.Sc. Full-time
Data Analytics and Information Systems,M.Sc.,Shepherd University,"Shepherdstown, West Virginia, United States",563 EUR / credit,1 year,M.Sc. Full-time
Computer Science,M.Sc.,New York University,"New York City, New York, United States","56,734 EUR / year",1 year,M.Sc. Full-time
Information Systems,M.Sc.,New Jersey Institute of Technology,"Newark, New Jersey, United States","24,963 EUR / year",1 year,M.Sc. Full-time
Data Science,M.Sc.,University of Saint Thomas Saint Paul,"Saint Paul, Minnesota, United States",511 EUR / credit,1 year,M.Sc. Full-time
Data Science and Analytics with Emphasis in Strategic Communications and Data Journalism,M.Sc.,University of Missouri - Columbia,"Columbia, Missouri, United States","19,873 EUR / year",1 year,M.Sc. Full-time Blended Learning
Data Science,M.Sc.,University of Massachusetts Dartmouth,"New York City, New York, United States","18,132 EUR / year",1 year,M.Sc. Full-time Part-time
Business Analytics,M.Sc.,Montclair State University,"Montclair, New Jersey, United States",573 EUR / credit,2 years,M.Sc. Full-time
Data Analytics and Visualization,M.Sc.,Yeshiva University,"New York City, New York, United States",909 EUR / credit,1 year,M.Sc. Full-time
Data and Information Management,M.Sc.,Radford University,"Radford, Virginia, United States","14,256 EUR / year",1 year,M.Sc. Full-time
Data Science,M.Sc.,American University Washington DC,"Washington, D. C., Washington, D.C., United States","18,230 EUR / year",2 years,M.Sc. Full-time
Data Science,M.Sc.,The City University of New York,"New York City, New York, United States",699 EUR / credit,1 year,M.Sc. Full-time
Data Science,Full-time,Illinois Institute of Technology,"Chicago, Illinois, United States","1,319 EUR / credit",1 year,Full-time
Data Analytics,M.Sc.,Johnson & Wales University,"Providence, Rhode Island, United States","1,927 EUR / module",1½ years,M.Sc. Full-time
Applied Economics and Econometrics,M.Sc.,University of Southern California,"Los Angeles, California, United States","48,439 EUR / year",2 years,M.Sc. Full-time
Data Science,M.Sc.,Colorado School of Mines,"Golden, Colorado, United States","30,530 EUR / year",1 year,M.Sc. Full-time
Analytics,M.Sc.,Georgia Institute of Technology,"Atlanta, Georgia, United States","1,381 EUR / credit",1 year,M.Sc. Full-time
Data Science and Analytics,Full-time,University of Maryland,"College Park, Maryland, United States","6,212 EUR / year",1 year,Full-time
Data Science,Full-time,University of Pennsylvania,"Philadelphia, Pennsylvania, United States","5,975 EUR / module",1½ years,Full-time
Data Analytics,M.Sc.,Rowan University,"Glassboro, New Jersey, United States",584 EUR / credit,1 year,M.Sc. Full-time
Data Analysis and Visualization,M.Sc.,The City University of New York,"New York City, New York, United States",699 EUR / credit,1 year,M.Sc. Full-time
"Information Technology - Cybersecurity, Data Analytics",M.Sc.,California Lutheran University,"California, Maryland, United States",699 EUR / credit,1 year,M.Sc. Full-time Part-time
Data Science and Strategic Analytics,M.Sc.,Stockton University,"Ocean Acres, New Jersey, United States",913 EUR / credit,2 years,M.Sc. Full-time
Emergent Digital Practices,M.A.,University of Denver,"Denver, Colorado, United States","19,108 EUR / year",2 years,M.A. Full-time
Applied Data Analytics,M.Sc.,Boston University,"Boston, Massachusetts, United States","46,473 EUR / year",1 year,M.Sc. Full-time
Computer Science: Data Science,M.Sc.,The University of Tennessee at Chattanooga,"Chattanooga, Tennessee, United States","14,273 EUR / year",1 year,M.Sc. Full-time
Analytics,M.Sc.,Wittenberg University,"Springfield, Tennessee, United States","33,211 EUR / year",1 year,M.Sc. Full-time Blended Learning
Data Science,Full-time,University of Kentucky,"Lexington-Fayette, Kentucky, United States","26,618 EUR / year",1 year,Full-time
Data Science,M.Sc.,Indiana University Bloomington,"Bloomington, Indiana, United States","25,047 EUR / year",2 years,M.Sc. Full-time
Data Science,Full-time,University of Michigan,"Ann Arbor, Michigan, United States","40,501 EUR / year",1 year,Full-time
Urban Spatial Analytics,M.Sc.,University of Pennsylvania,"Philadelphia, Pennsylvania, United States","43,703 EUR / year",1 year,M.Sc. Full-time
Data Analytics,M.Sc.,Pennsylvania State University,"University Park, Pennsylvania, United States","32,467 EUR / year",1 year,M.Sc. Full-time
Data Science and Analytics,M.Sc.,University of Missouri - Columbia,"Columbia, Missouri, United States","19,873 EUR / year",1 year,M.Sc. Full-time Blended Learning
Data Science and Analytics,M.Sc.,Georgia State University,"Atlanta, Georgia, United States","24,699 EUR / year",1 year,M.Sc. Full-time
Data Science,Full-time,Indiana University Bloomington,"Bloomington, Indiana, United States","25,047 EUR / year",1 year,Full-time Blended Learning
Biomedical Data Science and Modeling,M.Sc.,Illinois Institute of Technology,"Chicago, Illinois, United States","1,319 EUR / credit",1 year,M.Sc. Full-time
Information Systems,M.Sc.,New York University,"New York City, New York, United States","61,462 EUR / year",1 year,M.Sc. Full-time
Data Science,M.Sc.,Fairfield University,"Fairfield, Connecticut, United States",695 EUR / credit,1 year,M.Sc. Full-time Part-time
Computational Sciences,M.Sc.,George Mason University,"Fairfax, Virginia, United States","1,154 EUR / credit",1 year,M.Sc. Full-time
Applied Data Science and International Studies,M.Sc.,Claremont Graduate University (CGU),"Claremont, California, United States","1,618 EUR / credit",1½ years,M.Sc. Full-time
Big Data Analytics,M.Sc.,San Diego State University,"San Diego, California, United States","7,482 EUR / year",2 years,M.Sc. Full-time
Analytics,M.Sc.,University of Southern California,"Los Angeles, California, United States","1,797 EUR / credit",1½ years,M.Sc. Full-time Online
Computer Science - Data Science,M.Sc.,University of Southern California,"Los Angeles, California, United States","1,797 EUR / credit",2 years,M.Sc. Full-time Online
Statistics and Data Science,M.A.,Yale University,"New Haven, Connecticut, United States","35,393 EUR / year",2 years,M.A. Full-time
Data Science,M.Sc.,Worcester Polytechnic Institute,"Worcester, Massachusetts, United States","23,688 EUR / year",1 year,M.Sc. Full-time
Data Science,Pre-Master,American University Washington DC,"Washington, D. C., Washington, D.C., United States","23,962 EUR / year",1 year,Pre-Master Full-time
Data Analytics Engineering,M.Sc.,George Mason University,"Fairfax, Virginia, United States","1,154 EUR / credit",1 year,M.Sc. Full-time
Interdisciplinary Data Science,M.Sc.,Duke University,"Durham, North Carolina, United States","47,328 EUR / year",2 years,M.Sc. Full-time
Statistical Practice,M.Sc.,Boston University,"Boston, Massachusetts, United States","46,473 EUR / year",1 year,M.Sc. Full-time
Data Analytics,M.Sc.,Catholic University of America,"Washington, D. C., Washington, D.C., United States","41,083 EUR / year",1 year,M.Sc. Full-time
Industrial Engineering,M.Sc.,University of Illinois at Chicago,"Chicago, Illinois, United States","20,221 EUR / year",2 years,M.Sc. Full-time
Business and Science Degree in Analytics - Discovery Informatics and Data Sciences,Full-time,Rutgers University,"Camden, New Jersey, United States","1,027 EUR / credit",1 year,Full-time
Analytics,M.Sc.,Dakota State University,"Madison, Alabama, United States",504 EUR / credit,2 years,M.Sc. Full-time Part-time
Data Science,M.Sc.,Florida International University,"West Miami, Florida, United States","14,738 EUR / year",1 year,M.Sc. Full-time
Business Management Large Scale Data Analysis Track,M.Sc.,The City University of New York,"New York City, New York, United States",699 EUR / credit,1 year,M.Sc. Full-time
Spatial Economics and Data Analysis,M.Sc.,University of Southern California,"Los Angeles, California, United States","48,439 EUR / year",2 years,M.Sc. Full-time
Statistics and Data Science,M.Sc.,The University of Texas at San Antonio,"Helotes, Texas, United States","13,134 EUR / year",1 year,M.Sc. Full-time
Spatial Data Science,M.Sc.,University of Southern California,"Los Angeles, California, United States","1,797 EUR / credit",1 year,M.Sc. Full-time
Data Science,M.Sc.,New York University,"New York City, New York, United States","28,367 EUR / year",2 years,M.Sc. Full-time Part-time
Data Analytics,M.Sc.,Alliant International University,"Poway, California, United States",593 EUR / credit,2 years,M.Sc. Full-time
Big Data Analytics and Management (Thesis),Full-time,BAU,"Washington, D. C., Washington, D.C., United States","4,904 EUR / year",2 years,Full-time
Data Science,M.Sc.,University of Denver,"Denver, Colorado, United States","18,650 EUR / year",1 year,M.Sc. Full-time
Business Analytics,M.Sc.,University of Dallas,"Dallas, Texas, United States","1,022 EUR / credit",1 year,M.Sc. Full-time Online
Data Analytics,M.Sc.,The City University of New York,"New York City, New York, United States",699 EUR / credit,1 year,M.Sc. Full-time
Business Analytics,M.Sc.,University of Southern California,"Los Angeles, California, United States","48,439 EUR / year",1½ years,M.Sc. Full-time Part-time
Business Analytics,M.Sc.,Bentley University,"Waltham, Massachusetts, United States","37,695 EUR / year",1 year,M.Sc. Full-time Part-time Blended Learning Online
Data Science,M.Sc.,Texas Tech University,"Lubbock, Texas, United States","14,329 EUR / year",1 year,M.Sc. Full-time Online
Data Science and Analytics,M.Sc.,Claremont Graduate University (CGU),"Claremont, California, United States","1,618 EUR / credit",1 year,M.Sc. Full-time Part-time
Data Science,M.Sc.,University of San Francisco,"San Francisco, California, United States","1,210 EUR / credit",1 year,M.Sc. Full-time
Data Mining,M.Sc.,Central Connecticut State University,"New Britain, Connecticut, United States","21,311 EUR / year",1 year,M.Sc. Full-time
Computer Science,M.Sc.,Iona College,"New York City, New York, United States",987 EUR / credit,1 year,M.Sc. Full-time
Communication Data Science,M.Sc.,University of Southern California,"Los Angeles, California, United States","1,797 EUR / credit",1 year,M.Sc. Full-time Online
Data Science,M.Sc.,New Jersey Institute of Technology,"Newark, New Jersey, United States","24,963 EUR / year",1 year,M.Sc. Full-time
Data Analytics,M.Sc.,University of Illinois Springfield,"Springfield, Illinois, United States","17,832 EUR / year",1 year,M.Sc. Full-time
Data Analytics,M.Sc.,Clarkson University,"Potsdam, New York, United States","1,313 EUR / credit",1 year,M.Sc. Full-time Part-time Online
Cybersecurity,M.Sc.,University of Dallas,"Dallas, Texas, United States","1,022 EUR / credit",1 year,M.Sc. Full-time Online
Data Analytics,Full-time,Utah State University,"Logan, Ohio, United States","12,544 EUR / year",1 year,Full-time
Business Analytics,Full-time,MIT Sloan School of Management,"Cambridge, Massachusetts, United States","43,690 EUR / year",1 year,Full-time
Data Science,M.Sc.,DePaul University,"Chicago, Illinois, United States",707 EUR / credit,2 years,M.Sc. Full-time
Data Science,M.Sc.,Rochester Institute of Technology,"Rochester, New York, United States","42,580 EUR / year",2 years,M.Sc. Full-time Online
"Applied Statistics, Data Science Specialization",Full-time,Colorado State University,"Fort Collins, Colorado, United States","1,171 EUR / credit",1 year,Full-time Part-time Online
Statistical Data Science,M.Sc.,San Francisco State University,"San Francisco, California, United States","7,254 EUR / year",1 year,M.Sc. Full-time
Information Technology,M.Sc.,University of Nebraska Omaha,"Omaha, Nebraska, United States","13,384 EUR / year",1 year,M.Sc. Full-time
Data Science,M.Sc.,University of Minnesota,"Minneapolis, Minnesota, United States","23,168 EUR / year",2 years,M.Sc. Full-time
Data Science,Full-time,Lipscomb University,"Memphis, Florida, United States","1,053 EUR / credit",1 year,Full-time
Data Science,Full-time,Harvard University,"Cambridge, Massachusetts, United States","28,609 EUR / year",1 year,Full-time Blended Learning
Computer Science,M.Sc.,University of Wisconsin - River Falls,"River Falls, Wisconsin, United States",618 EUR / credit,2 years,M.Sc. Full-time
Biomedical Data Analytics,M.Sc.,University of Southern California,"Los Angeles, California, United States","48,439 EUR / year",2 years,M.Sc. Full-time
