title,degree,school,location,price,duration,label
Computer Science,Full-time,University of Colorado at Boulder,"Boulder, Colorado, United States","22,456 EUR / year",1 year,Full-time
Computer Science,M.Sc.,Appalachian State University,"Boone, North Carolina, United States","11,202 EUR / year",1 year,M.Sc. Full-time
Industrial and Systems Engineering,M.Sc.,Ohio University,"Athens, Ohio, United States","10,584 EUR / year",2 years,M.Sc. Full-time
Computer Science,M.Sc.,University of San Francisco,"San Francisco, California, United States","1,210 EUR / credit",2 years,M.Sc. Full-time
Computer Engineering,M.Sc.,California State University Long Beach,"Long Beach, California, United States","5,866 EUR / year",1 year,M.Sc. Full-time
Computer Science,Full-time,Arizona State University,"Tempe Junction, Arizona, United States","20,599 EUR / year",1 year,Full-time Online
Computer Science,M.Sc.,Midwestern State University,"Wichita Falls, Texas, United States","11,653 EUR / year",2 years,M.Sc. Full-time
Computer Science (Data Science),M.Sc.,Texas State University,"San Marcos, Texas, United States",,1 year,M.Sc. Full-time
Computer Science,M.Sc.,Northwestern University,"Evanston, Illinois, United States","30,553 EUR / year",1 year,M.Sc. Full-time
Computer Science,M.A.,The City University of New York,"New York City, New York, United States",699 EUR / credit,1 year,M.A. Full-time
Computer Science,Full-time,University of Colorado at Boulder,"Boulder, Colorado, United States","22,456 EUR / year",1 year,Full-time
Computer Science,M.Sc.,Appalachian State University,"Boone, North Carolina, United States","11,202 EUR / year",1 year,M.Sc. Full-time
Industrial and Systems Engineering,M.Sc.,Ohio University,"Athens, Ohio, United States","10,584 EUR / year",2 years,M.Sc. Full-time
Computer Science,M.Sc.,University of San Francisco,"San Francisco, California, United States","1,210 EUR / credit",2 years,M.Sc. Full-time
Computer Engineering,M.Sc.,California State University Long Beach,"Long Beach, California, United States","5,866 EUR / year",1 year,M.Sc. Full-time
Computer Science,Full-time,Arizona State University,"Tempe Junction, Arizona, United States","20,599 EUR / year",1 year,Full-time Online
Computer Science,M.Sc.,Midwestern State University,"Wichita Falls, Texas, United States","11,653 EUR / year",2 years,M.Sc. Full-time
Computer Science (Data Science),M.Sc.,Texas State University,"San Marcos, Texas, United States",,1 year,M.Sc. Full-time
Computer Science - AI and Machine Learning,M.Sc.,Contemporary Technology University,Online,"4,904 EUR / year",1 year,M.Sc. Full-time Part-time Blended Learning
Two Year Master of Business Administration,M.B.A.,Babson College,Multiple locations,"46,826 EUR / year",2 years,M.B.A. Full-time
Applied Machine Intelligence,Full-time,Northeastern University,"Boston, Massachusetts, United States","16,593 EUR / year",2 years,Full-time Part-time Online
Data Science,Full-time,University of Maryland Baltimore County (UMBC),"Baltimore Highlands, Maryland, United States",925 EUR / credit,1 year,Full-time
"Chemical Engineering (Modeling, Simulation and Informatics)",M.Eng.,University at Buffalo SUNY - School of Engineering and Applied Sciences,"Buffalo, New York, United States","18,882 EUR / year",1 year,M.Eng. Full-time Part-time
Data Analytics and Information Systems,M.Sc.,Texas State University,"San Marcos, Texas, United States",,1 year,M.Sc. Full-time
Computer Science - Accelerated Master's Program,M.Sc.,University of Arizona,"Tucson, Arizona, United States","16,451 EUR / year",1 year,M.Sc. Full-time
Engineering Sciences (Artificial Intelligence),M.Sc.,University at Buffalo SUNY - School of Engineering and Applied Sciences,"Buffalo, New York, United States","18,882 EUR / year",1 year,M.Sc. Full-time Part-time
Machine Learning Engineering,M.Sc.,Drexel University College of Engineering,"Philadelphia, Pennsylvania, United States","1,097 EUR / credit",2 years,M.Sc. Full-time
Computer Science - Professional Science,M.Sc.,University of Arizona,"Tucson, Arizona, United States","16,451 EUR / year",1 year,M.Sc. Full-time
Computer Science,M.Sc.,University of Arizona,"Tucson, Arizona, United States","16,451 EUR / year",1 year,M.Sc. Full-time
Computer Engineering,M.Sc.,The University of Texas at Arlington,"Texas City, Texas, United States","18,900 EUR / year",1 year,M.Sc. Full-time
Mechanical Engineering,M.Sc.,"University of California, Los Angeles (UCLA)","Beverly Hills, California, United States","26,637 EUR / year",1 year,M.Sc. Full-time
Statistical Science,M.Sc.,Duke University,"Durham, North Carolina, United States","47,328 EUR / year",2 years,M.Sc. Full-time
Applied Computer Science (with a concentration in Artificial Intelligence andMachine Learning),M.Sc.,Wentworth Institute of Technology,"Boston, Massachusetts, United States",928 EUR / credit,1 year,M.Sc. Full-time
Applied Mathematics and Statistics,M.A.,Johns Hopkins University,"Baltimore, Maryland, United States","46,600 EUR / year",1 year,M.A. Full-time
Computer Engineering,M.Sc.,University of South Florida,"Tampa, Florida, United States","12,967 EUR / year",1 year,M.Sc. Full-time
Computer Science and Electrical Engineering,M.Sc.,Oregon Health & Science University,"Oregon, Ohio, United States",618 EUR / credit,1 year,M.Sc. Full-time
Applied Data Science,M.Sc.,University of Southern California,"Los Angeles, California, United States","1,797 EUR / credit",2 years,M.Sc. Full-time Online
Data Analytics,M.Sc.,University of Central Florida,"Orlando, Florida, United States","35,155 EUR / year",1 year,M.Sc. Full-time
Applied Physics and Computer Science,M.Sc.,Christopher Newport University,"Newport News, Virginia, United States",973 EUR / credit,1 year,M.Sc. Full-time
Computer Science,M.Sc.,University of Florida,"Gainesville, Florida, United States","24,632 EUR / year",2 years,M.Sc. Full-time
"Computer Science, Data Science Concentration",M.Sc.,Fitchburg State University,"Fitchburg, Massachusetts, United States",261 EUR / credit,2 years,M.Sc. Full-time Part-time Online
Computer Science,M.Sc.,Miami University,"Oxford, Ohio, United States","10,061 EUR / year",1 year,M.Sc. Full-time
Speech Language Pathology,M.Sc.,Clarion University of Pennsylvania,"Clarion, Pennsylvania, United States",633 EUR / credit,2 years,M.Sc. Full-time
Biomedical Data Science,M.Sc.,University of Wisconsin Madison,"Madison, Wisconsin, United States","20,865 EUR / year",2 years,M.Sc. Full-time
Computer Science,M.Sc.,New Mexico State University,"Las Cruces, New Mexico, United States",283 EUR / credit,1 year,M.Sc. Full-time
"Computational Engineering - Optimization, Machine Vision, and Decision-Making Track",Full-time,Illinois Institute of Technology,"Chicago, Illinois, United States","1,319 EUR / credit",1 year,Full-time
Data Analytics,M.Sc.,The University of Texas at San Antonio,"Helotes, Texas, United States","13,134 EUR / year",1 year,M.Sc. Full-time
Business Intelligence and Analytics,M.Sc.,Stevens Institute of Technology,"Hoboken, New Jersey, United States","31,777 EUR / year",2 years,M.Sc. Full-time
Speech-Language Pathology,M.Sc.,Seton Hall University,"South Orange, New Jersey, United States","1,107 EUR / credit",2 years,M.Sc. Full-time
Complex Systems and Data Science,M.Sc.,The University of Vermont,"Burlington, Vermont, United States","1,406 EUR / credit",1 year,M.Sc. Full-time
Computer Science,M.Sc.,Georgetown University,"Washington, D. C., Washington, D.C., United States","1,862 EUR / credit",2 years,M.Sc. Full-time
Speech Language Pathology,M.Sc.,Lamar University,"Beaumont, Texas, United States","8,689 EUR / year",2 years,M.Sc. Full-time
Computer Science,M.Sc.,Columbia University,"Manhattan, New York, United States","50,009 EUR / year",1 year,M.Sc. Full-time
Applied and Computational Mathematics,M.A.,St. John's University,"New York City, New York, United States","1,067 EUR / credit",1 year,M.A. Full-time
Computer Science,M.Sc.,The University of North Carolina at Charlotte,"Charlotte, North Carolina, United States","10,894 EUR / year",1 year,M.Sc. Full-time
Robotics and Intelligent Autonomous Systems,M.Eng.,University of Cincinnati,"Cincinnati, Ohio, United States","21,779 EUR / year",1 year,M.Eng. Full-time
Computer Science,M.Sc.,University of Central Florida,"Orlando, Florida, United States","35,155 EUR / year",1 year,M.Sc. Full-time
Computer Science and Economics,M.Sc.,Yale University,"New Haven, Connecticut, United States","35,393 EUR / year",1 year,M.Sc. Full-time
Computer Science,M.Sc.,Oklahoma Christian University,"Edmond, Oklahoma, United States","16,409 EUR / year",1 year,M.Sc. Full-time
Business Analytics,M.Sc.,Boston University,"Boston, Massachusetts, United States","46,473 EUR / year",1 year,M.Sc. Full-time
Computer Science,M.Sc.,University of Texas at Dallas,"Richardson, Texas, United States","32,147 EUR / year",1 year,M.Sc. Full-time Part-time
Epidemiology,Full-time,University of Maryland,"College Park, Maryland, United States","1,328 EUR / credit",2 years,Full-time Part-time
Computer Science,M.Sc.,Florida Institute of Technology,"Melbourne, Florida, United States","1,014 EUR / credit",1 year,M.Sc. Full-time
Speech - Language Pathology,M.Sc.,Jacksonville University,"Jacksonville, Florida, United States",736 EUR / credit,2 years,M.Sc. Full-time
Business Analytics,M.Sc.,College of William & Mary,"Williamsburg, Virginia, United States","28,446 EUR / year",1 year,M.Sc. Full-time
Speech Language Pathology,M.Sc.,The University of Texas Health Science Center at San Antonio,"San Antonio, Texas, United States","4,630 EUR / year",1 year,M.Sc. Full-time
Artificial Intelligence and Cloud,Full-time,Politecnico di Torino,Multiple locations,0 EUR / year,1 year,Full-time
Bioinformatics,M.Sc.,New Mexico State University,"Las Cruces, New Mexico, United States","14,503 EUR / year",1 year,M.Sc. Full-time
Speech-Language Pathology,M.Sc.,La Salle University,"Philadelphia, Pennsylvania, United States",821 EUR / credit,2 years,M.Sc. Full-time
Economics and Computer Science,M.Sc.,Drexel University,"Philadelphia, Pennsylvania, United States",931 EUR / credit,1½ years,M.Sc. Full-time Part-time
Health Informatics and Data Science,M.Sc.,Georgetown University,"Washington, D. C., Washington, D.C., United States","43,630 EUR / year",1½ years,M.Sc. Full-time Part-time
Full-Time Master of Business Administration,M.B.A.,Case Western Reserve University,"Cleveland Heights, Ohio, United States","73,076 EUR / year",2 years,M.B.A. Full-time
Computer and Information Systems,M.Sc.,University of Wisconsin-Parkside,"Somers, Wisconsin, United States","15,322 EUR / year",1½ years,M.Sc. Full-time Part-time
Speech-Language Pathology,M.Sc.,Nova Southeastern University,"Davie, Florida, United States","1,011 EUR / credit",2 years,M.Sc. Full-time
Biomedical Data Science,M.Sc.,Icahn School of Medicine at Mount Sinai,"New York City, New York, United States","25,748 EUR / year",1 year,M.Sc. Full-time
Computer Science and Information Systems,M.Sc.,Saginaw Valley State University,"Michigan City, Indiana, United States","18,341 EUR / year",1 year,M.Sc. Full-time
Data Science,M.Sc.,University of Massachusetts Dartmouth,"New York City, New York, United States","18,132 EUR / year",1 year,M.Sc. Full-time Part-time
Computer Engineering,M.Eng.,Florida Institute of Technology,"Melbourne, Florida, United States","1,014 EUR / credit",1 year,M.Eng. Full-time
Computer Science,M.Sc.,"University of California, Irvine (UCI)","Irvine, California, United States","26,834 EUR / year",2 years,M.Sc. Full-time
Robotics,M.Sc.,University of Pennsylvania,"Philadelphia, Pennsylvania, United States","5,975 EUR / module",1½ years,M.Sc. Full-time
Computer Engineering,Full-time,University of Central Florida,"Orlando, Florida, United States","35,155 EUR / year",1 year,Full-time
Electrical Engineering - Signal Processing and Machine Learning,M.Sc.,University of Wisconsin Madison,"Madison, Wisconsin, United States","20,865 EUR / year",1 year,M.Sc. Full-time
Data Science,M.Sc.,American University Washington DC,"Washington, D. C., Washington, D.C., United States","18,230 EUR / year",2 years,M.Sc. Full-time
Data Science,M.Sc.,The City University of New York,"New York City, New York, United States",699 EUR / credit,1 year,M.Sc. Full-time
Computer Science,M.Sc.,University of New Hampshire,"Durham, New Hampshire, United States","22,732 EUR / year",1 year,M.Sc. Full-time
Public Health Data Science,M.Sc.,University of Southern California,"Los Angeles, California, United States","48,439 EUR / year",1 year,M.Sc. Full-time
Biostatistics,Full-time,University of Maryland,"College Park, Maryland, United States","31,879 EUR / year",2 years,Full-time Part-time
Data Science and Analytics,Full-time,University of Maryland,"College Park, Maryland, United States","6,212 EUR / year",1 year,Full-time
Computer Science,M.Sc.,University of Chicago,"Chicago, Illinois, United States","5,033 EUR / module",1 year,M.Sc. Full-time
Data Science,Full-time,University of Pennsylvania,"Philadelphia, Pennsylvania, United States","5,975 EUR / module",1½ years,Full-time
Data Analytics,M.Sc.,Rowan University,"Glassboro, New Jersey, United States",584 EUR / credit,1 year,M.Sc. Full-time
Electrical and Computer Engineering,M.Sc.,Kansas State University,"Manhattan, Kansas, United States","17,594 EUR / year",1 year,M.Sc. Full-time
Telecommunications,M.Sc.,University of Pittsburgh,"Pittsburgh, Pennsylvania, United States","32,613 EUR / year",1 year,M.Sc. Full-time
Statistics,M.Sc.,"University of California, Los Angeles (UCLA)","Beverly Hills, California, United States","26,637 EUR / year",1 year,M.Sc. Full-time
Electrical Engineering,M.Sc.,Colorado School of Mines,"Golden, Colorado, United States","30,530 EUR / year",1 year,M.Sc. Full-time
Mining Engineering,M.Sc.,Michigan Technological University,"Houghton, Michigan, United States","19,957 EUR / year",1 year,M.Sc. Full-time
Computer Science,M.Sc.,"University of California, Davis","Davis, California, United States","21,697 EUR / year",1 year,M.Sc. Full-time
Geographic Information Science,M.Sc.,Saint Louis University,"Saint Louis, Missouri, United States",973 EUR / credit,1 year,M.Sc. Full-time Part-time
Science in Business Analytics,M.B.A.,Hamline University,"Saint Paul, Minnesota, United States",617 EUR / credit,1 year,M.B.A. Full-time Online
Computer Science,M.Sc.,Montana State University,"Bozeman, Montana, United States","28,291 EUR / year",1 year,M.Sc. Full-time
Analytics,M.Sc.,University of New Hampshire,"Durham, New Hampshire, United States","22,732 EUR / year",1 year,M.Sc. Full-time
Financial Analytics,M.Sc.,Stevens Institute of Technology,"Hoboken, New Jersey, United States","31,777 EUR / year",2 years,M.Sc. Full-time
Computer Science,M.Eng.,Cornell University,"Ithaca, New York, United States","47,888 EUR / year",1 year,M.Eng. Full-time
Business Intelligence and Analytics,M.Sc.,Rockhurst University,"Kansas City, Missouri, United States",593 EUR / credit,1 year,M.Sc. Full-time Blended Learning
Analytics,M.Sc.,Georgetown University,"Washington, D. C., Washington, D.C., United States","47,411 EUR / year",1 year,M.Sc. Full-time
Speech-Language Pathology,M.Sc.,University of North Texas,"Denton, Texas, United States","24,656 EUR / year",1 year,M.Sc. Full-time
Computer Science,M.Sc.,East Stroudsburg University,"East Stroudsburg, Pennsylvania, United States",573 EUR / credit,1 year,M.Sc. Full-time
Big Data Analytics,M.Sc.,San Diego State University,"San Diego, California, United States","7,482 EUR / year",2 years,M.Sc. Full-time
Statistics and Data Science,M.A.,Yale University,"New Haven, Connecticut, United States","35,393 EUR / year",2 years,M.A. Full-time
Data Science,M.Sc.,Worcester Polytechnic Institute,"Worcester, Massachusetts, United States","23,688 EUR / year",1 year,M.Sc. Full-time
Machine Learning,M.Sc.,Carnegie Mellon University,"Pittsburgh, Pennsylvania, United States","40,952 EUR / year",2 years,M.Sc. Full-time
Applied Cognition and Neuroscience,M.Sc.,University of Texas at Dallas,"Richardson, Texas, United States","32,147 EUR / year",1 year,M.Sc. Full-time
Data Analytics,M.Sc.,Catholic University of America,"Washington, D. C., Washington, D.C., United States","41,083 EUR / year",1 year,M.Sc. Full-time
Computer Science,M.Sc.,Temple University,"Philadelphia, Pennsylvania, United States","1,238 EUR / credit",1 year,M.Sc. Full-time Part-time
Business Analytics,M.Sc.,University of Illinois at Chicago,"Chicago, Illinois, United States","20,221 EUR / year",2 years,M.Sc. Full-time
Software Engineering,M.Sc.,"University of California, Irvine (UCI)","Irvine, California, United States","26,834 EUR / year",2 years,M.Sc. Full-time
Speech-Language Pathology,M.Sc.,Appalachian State University,"Boone, North Carolina, United States","11,202 EUR / year",2 years,M.Sc. Full-time
Business and Science Degree in Analytics - Discovery Informatics and Data Sciences,Full-time,Rutgers University,"Camden, New Jersey, United States","1,027 EUR / credit",1 year,Full-time
Operations Research,Full-time,Massachusetts Institute of Technology (MIT),"Cambridge, Massachusetts, United States","43,690 EUR / year",1 year,Full-time
Robotics,M.Eng.,University of Maryland,"College Park, Maryland, United States","31,879 EUR / year",1 year,M.Eng. Full-time
Interdisciplinary Computer Science,M.A.,Mills College,"Oakland, Tennessee, United States","1,093 EUR / credit",1 year,M.A. Full-time
Spatial Data Science,M.Sc.,University of Southern California,"Los Angeles, California, United States","1,797 EUR / credit",1 year,M.Sc. Full-time
Speech-Language Pathology,M.Sc.,Bridgewater State University,"Bridgewater, Massachusetts, United States",388 EUR / credit,1 year,M.Sc. Full-time
Computer Science,M.Sc.,Texas A&M University - Kingsville,"Kingsville, Texas, United States","22,500 EUR / year",2 years,M.Sc. Full-time
Speech Language Pathology,M.A.,Kent State University,"Kent, Ohio, United States","17,944 EUR / year",1 year,M.A. Full-time
Data Science,M.Sc.,New York University,"New York City, New York, United States","28,367 EUR / year",2 years,M.Sc. Full-time Part-time
Data Science,M.Sc.,University of Denver,"Denver, Colorado, United States","18,650 EUR / year",1 year,M.Sc. Full-time
Computation and Cognition,M.Eng.,Massachusetts Institute of Technology (MIT),"Cambridge, Massachusetts, United States",,5 years,M.Eng. Full-time
Financial Engineering,M.Sc.,University of Illinois at Urbana Champaign,"Urbana, Illinois, United States","37,927 EUR / year",1½ years,M.Sc. Full-time
Computer Information Systems,M.Sc.,Kean University,"Elizabeth, New Jersey, United States","16,932 EUR / year",2 years,M.Sc. Full-time
Computer Science,M.Sc.,Florida Polytechnic University,"Lakeland, Florida, United States",315 EUR / credit,1 year,M.Sc. Full-time
Communication Data Science,M.Sc.,University of Southern California,"Los Angeles, California, United States","1,797 EUR / credit",1 year,M.Sc. Full-time Online
Data Science,M.Sc.,New Jersey Institute of Technology,"Newark, New Jersey, United States","24,963 EUR / year",1 year,M.Sc. Full-time
Artificial Intelligence,M.Sc.,Boston University,"Boston, Massachusetts, United States","46,473 EUR / year",1 year,M.Sc. Full-time
Speech-Language Pathology,M.Sc.,University of Pittsburgh,"Pittsburgh, Pennsylvania, United States","38,266 EUR / year",2 years,M.Sc. Full-time
Data Analytics,Full-time,Utah State University,"Logan, Ohio, United States","12,544 EUR / year",1 year,Full-time
Business Analytics,Full-time,MIT Sloan School of Management,"Cambridge, Massachusetts, United States","43,690 EUR / year",1 year,Full-time
Statistical Data Science,M.Sc.,San Francisco State University,"San Francisco, California, United States","7,254 EUR / year",1 year,M.Sc. Full-time
Data Science,M.Sc.,University of Minnesota,"Minneapolis, Minnesota, United States","23,168 EUR / year",2 years,M.Sc. Full-time
Applied Mathematics - Data Analytics,M.Sc.,Manhattan College,"New York City, New York, United States",940 EUR / credit,1 year,M.Sc. Full-time
Electrical and Computer Engineering - Non-Thesis Option,M.Sc.,University of Miami,"Miami, Florida, United States","29,868 EUR / year",1 year,M.Sc. Full-time
Speech-Language Pathology,M.Sc.,The City University of New York,"New York City, New York, United States",699 EUR / credit,1 year,M.Sc. Full-time
Health Informatics,M.Sc.,University of San Francisco - School of Nursing and Health Professions,"San Francisco, California, United States","1,210 EUR / credit",1 year,M.Sc. Full-time
Computer Science (Data Science),M.Sc.,Texas State University,"San Marcos, Texas, United States",,1 year,M.Sc. Full-time
Computer Science,M.Sc.,Michigan State University,"East Lansing, Michigan, United States","22,717 EUR / year",2 years,M.Sc. Full-time
Speech-Language Pathology,M.Sc.,Moravian College,"Bethlehem, Pennsylvania, United States","16,348 EUR / year",3 years,M.Sc. Full-time
Information Technology,M.Sc.,Sacred Heart University,"Fairfield, Connecticut, United States",772 EUR / credit,2 years,M.Sc. Full-time
Computer Science,M.Sc.,University of South Florida,"Tampa, Florida, United States","12,967 EUR / year",1 year,M.Sc. Full-time
Data Science,M.Sc.,University of Minnesota,"Minneapolis, Minnesota, United States","23,168 EUR / year",2 years,M.Sc. Full-time
Applied Mathematics - Data Analytics,M.Sc.,Manhattan College,"New York City, New York, United States",940 EUR / credit,1 year,M.Sc. Full-time
Electrical and Computer Engineering - Non-Thesis Option,M.Sc.,University of Miami,"Miami, Florida, United States","29,868 EUR / year",1 year,M.Sc. Full-time
Speech-Language Pathology,M.Sc.,The City University of New York,"New York City, New York, United States",699 EUR / credit,1 year,M.Sc. Full-time
Health Informatics,M.Sc.,University of San Francisco - School of Nursing and Health Professions,"San Francisco, California, United States","1,210 EUR / credit",1 year,M.Sc. Full-time
Computer Science (Data Science),M.Sc.,Texas State University,"San Marcos, Texas, United States",,1 year,M.Sc. Full-time
Computer Science,M.Sc.,Michigan State University,"East Lansing, Michigan, United States","22,717 EUR / year",2 years,M.Sc. Full-time
Speech-Language Pathology,M.Sc.,Moravian College,"Bethlehem, Pennsylvania, United States","16,348 EUR / year",3 years,M.Sc. Full-time
Information Technology,M.Sc.,Sacred Heart University,"Fairfield, Connecticut, United States",772 EUR / credit,2 years,M.Sc. Full-time
Computer Science,M.Sc.,University of South Florida,"Tampa, Florida, United States","12,967 EUR / year",1 year,M.Sc. Full-time
